iter	RMSE
0	59.99227953
1	57.18111765
2	54.43827115
3	52.08079223
4	49.7920408
5	48.927632
6	47.68835802
7	45.71832286
8	44.34459261
9	43.42338006
10	41.89470262
11	40.55342842
12	40.06746665
13	38.85568209
14	38.52527024
15	37.4982747
16	37.26350493
17	37.07961572
18	36.91323395
19	36.04598462
20	35.70380507
21	35.20026963
22	34.37374054
23	33.64056492
24	32.93656927
25	32.74781706
26	32.74486632
27	32.50631937
28	32.32511697
29	32.25297449
30	32.22966638
31	31.85663156
32	31.37207385
33	31.2143387
34	31.04184524
35	30.55452335
36	30.42782025
37	29.94146409
38	29.81758604
39	29.36404557
40	29.25772589
41	29.22271933
42	29.0901404
43	29.08979362
44	28.68163718
45	28.6802496
46	28.56390392
47	28.22563794
48	28.14250683
49	28.01939417
50	27.91215428
51	27.51191875
52	27.48542273
53	27.48518332
54	27.48483165
55	27.35643132
56	27.33923759
57	27.2730124
58	26.80551278
59	26.51419637
60	26.51373856
61	26.40724802
62	26.35081402
63	26.23321785
64	25.95700838
65	25.87932265
66	25.55321863
67	25.55306173
68	25.54904211
69	25.48685026
70	25.46371238
71	25.44282785
72	25.19253184
73	25.13706735
74	25.08622544
75	25.0861266
76	25.03876362
77	24.81428483
78	24.81337812
79	24.7326293
80	24.67626515
81	24.65837938
82	24.58993075
83	24.50469547
84	24.31470449
85	24.10075805
86	23.96587052
87	23.92507996
88	23.88348699
89	23.88246782
90	23.61770987
91	23.53351521
92	23.52159852
93	23.43721172
94	23.40914125
95	23.34499186
96	23.17518715
97	23.1282091
98	23.12813181
99	23.1032757
100	22.71674463
101	22.64426337
102	22.60240374
103	22.53916373
104	22.51985831
105	22.32661013
106	22.0259239
107	22.01048281
108	22.01000876
109	21.96153951
110	21.60217635
111	21.47876589
112	21.47857837
113	21.15826661
114	21.11681678
115	21.09271467
116	21.08333036
117	20.85075082
118	20.81602347
119	20.76875146
120	20.75393341
121	20.48263246
122	20.46392356
123	20.18736124
124	20.12573993
125	19.94760954
126	19.90847014
127	19.87344814
128	19.82576171
129	19.57809123
130	19.35665044
131	19.1304481
132	18.87116355
133	18.71889622
134	18.55588558
135	18.39839738
136	18.3580877
137	18.31977101
138	18.26156184
139	18.23816549
140	18.07147906
141	17.88676094
142	17.84435509
143	17.64186768
144	17.44911321
145	17.26840919
146	17.11950073
147	17.00797352
148	16.91684644
149	16.91180384
150	16.88022978
151	16.75675036
152	16.71008711
153	16.67601121
154	16.6309011
155	16.58275594
156	16.41785457
157	16.41222974
158	16.29253994
159	16.25568662
160	16.1572238
161	16.14180884
162	16.1339918
163	15.97373525
164	15.92500306
165	15.7758871
166	15.77185519
167	15.66575756
168	15.65255074
169	15.60549368
170	15.50386721
171	15.48041239
172	15.46146453
173	15.40086979
174	15.23138079
175	15.19124687
176	15.14874483
177	15.02416762
178	15.01302896
179	14.96931233
180	14.94816114
181	14.93365532
182	14.83700659
183	14.67226032
184	14.58568729
185	14.57294711
186	14.49784391
187	14.4541448
188	14.44638315
189	14.35114907
190	14.28499076
191	14.27074977
192	14.14538756
193	14.06365081
194	13.95995593
195	13.83574555
196	13.76792078
197	13.74591098
198	13.73298705
199	13.56969042
200	13.56274071
201	13.49440955
202	13.46882853
203	13.4576477
204	13.37153117
205	13.29612966
206	13.23019356
207	13.22816421
208	13.19171243
209	13.17504629
210	13.16271013
211	13.13488282
212	13.11754319
213	13.10113701
214	13.03638289
215	13.01955522
216	13.00342374
217	12.99240893
218	12.98475971
219	12.92493309
220	12.818532
221	12.70615875
222	12.5920983
223	12.56943689
224	12.54511912
225	12.46082478
226	12.39720617
227	12.37601678
228	12.31628755
229	12.30137642
230	12.28480345
231	12.25461096
232	12.1883925
233	12.15749237
234	12.14161146
235	12.07266545
236	12.03951091
237	12.03727698
238	12.01695391
239	11.97087491
240	11.95165128
241	11.9257832
242	11.91553909
243	11.89661357
244	11.85422631
245	11.79476763
246	11.74451183
247	11.72056789
248	11.67639942
249	11.59019905
250	11.57761436
251	11.56201188
252	11.55235098
253	11.54566326
254	11.53749235
255	11.48770382
256	11.44972462
257	11.39094878
258	11.34807844
259	11.3355758
260	11.32626685
261	11.27763807
262	11.26756378
263	11.25465222
264	11.1864149
265	11.17607086
266	11.11644642
267	11.07267153
268	10.99818211
269	10.97231285
270	10.94722735
271	10.91822323
272	10.91454656
273	10.89324473
274	10.87434009
275	10.84131188
276	10.7836539
277	10.76582276
278	10.7523742
279	10.68282341
280	10.6516297
281	10.61338747
282	10.59280811
283	10.51037514
284	10.49983545
285	10.48527469
286	10.47113597
287	10.438417
288	10.42898873
289	10.41448369
290	10.40968669
291	10.38715719
292	10.37158845
293	10.30711594
294	10.29506411
295	10.24434617
296	10.22279501
297	10.2009483
298	10.18237672
299	10.15987276
300	10.12452095
301	10.10915249
302	10.09985176
303	10.08586471
304	10.05661013
305	10.04453183
306	10.0268061
307	9.999318207
308	9.954028633
309	9.944507629
310	9.926387722
311	9.916843382
312	9.858387249
313	9.810571567
314	9.80229094
315	9.763959117
316	9.735803836
317	9.723873409
318	9.714672564
319	9.710986234
320	9.687016129
321	9.666260116
322	9.648671153
323	9.580858942
324	9.519273731
325	9.490380282
326	9.47582627
327	9.455141739
328	9.408844416
329	9.386828112
330	9.320711741
331	9.293814378
332	9.27032753
333	9.227003322
334	9.207490398
335	9.194553753
336	9.1796753
337	9.159666008
338	9.142249757
339	9.130160663
340	9.081635765
341	9.019725063
342	9.001906647
343	8.971040477
344	8.932256778
345	8.920170905
346	8.873837501
347	8.854997448
348	8.823672666
349	8.800538785
350	8.780270749
351	8.744588887
352	8.696798866
353	8.677572531
354	8.660268236
355	8.635154995
356	8.611401454
357	8.597222025
358	8.588071635
359	8.582497661
360	8.538726546
361	8.51844025
362	8.498149775
363	8.484157435
364	8.465625155
365	8.458835724
366	8.44524706
367	8.423641224
368	8.397859648
369	8.386680227
370	8.384993901
371	8.362377068
372	8.327887322
373	8.312753957
374	8.299209678
375	8.283422302
376	8.264373844
377	8.247436136
378	8.226547807
379	8.184670548
380	8.149287074
